name, repeat, time, transf, fvc, depth, inv_depth, rate
orig, 1, 3, id, 4, 20, -1, 5.878138
inc, 1, 3, id, 4, 20, -1, 10040714.112387
einc, 1, 3, id, 4, 20, -1, 235840.495011
orig, 1, 3, add, 4, 20, 2, 5.805579
inc, 1, 3, add, 4, 20, 2, 3924026.944081
orig, 1, 3, elim, 4, 20, 2, 8.126603
inc, 1, 3, elim, 4, 20, 2, 3945927.207598
orig, 1, 3, move, 4, 20, 2, 6.019445
inc, 1, 3, move, 4, 20, 2, 3934019.151562
orig, 1, 3, id, 8, 4, -1, 1079904.510355
inc, 1, 3, id, 8, 4, -1, 5491912.688442
einc, 1, 3, id, 8, 4, -1, 654435.721311
orig, 1, 3, add, 8, 4, 2, 1078861.211496
inc, 1, 3, add, 8, 4, 2, 2416852.251497
orig, 1, 3, elim, 8, 4, 2, 1459184.143429
inc, 1, 3, elim, 8, 4, 2, 1106816.758414
orig, 1, 3, move, 8, 4, 2, 1044975.145725
inc, 1, 3, move, 8, 4, 2, 2474510.506551
orig, 1, 3, id, 8, 6, -1, 214272.573016
inc, 1, 3, id, 8, 6, -1, 4904826.313114
einc, 1, 3, id, 8, 6, -1, 485761.838339
orig, 1, 3, add, 8, 6, 2, 213887.474676
inc, 1, 3, add, 8, 6, 2, 2380035.516232
orig, 1, 3, elim, 8, 6, 2, 286076.784605
inc, 1, 3, elim, 8, 6, 2, 2232538.513726
orig, 1, 3, move, 8, 6, 2, 216160.953408
inc, 1, 3, move, 8, 6, 2, 2302216.555160
orig, 1, 3, id, 8, 8, -1, 49907.818148
inc, 1, 3, id, 8, 8, -1, 5748790.402563
einc, 1, 3, id, 8, 8, -1, 393968.136456
orig, 1, 3, add, 8, 8, 2, 50177.104948
inc, 1, 3, add, 8, 8, 2, 2454873.875544
orig, 1, 3, elim, 8, 8, 2, 67250.453470
inc, 1, 3, elim, 8, 8, 2, 2470502.168026
orig, 1, 3, move, 8, 8, 2, 50419.214032
inc, 1, 3, move, 8, 8, 2, 2471800.439358
orig, 1, 3, id, 8, 10, -1, 12185.971338
inc, 1, 3, id, 8, 10, -1, 5744617.101640
einc, 1, 3, id, 8, 10, -1, 317647.410484
orig, 1, 3, add, 8, 10, 2, 12156.781549
inc, 1, 3, add, 8, 10, 2, 2467523.779440
orig, 1, 3, elim, 8, 10, 2, 16318.734374
inc, 1, 3, elim, 8, 10, 2, 2470212.722622
orig, 1, 3, move, 8, 10, 2, 12188.484328
inc, 1, 3, move, 8, 10, 2, 2473547.666785
orig, 1, 3, id, 8, 12, -1, 2891.850557
inc, 1, 3, id, 8, 12, -1, 5666989.237944
einc, 1, 3, id, 8, 12, -1, 273825.880670
orig, 1, 3, add, 8, 12, 2, 2888.771153
inc, 1, 3, add, 8, 12, 2, 2479102.762434
orig, 1, 3, elim, 8, 12, 2, 3909.431030
inc, 1, 3, elim, 8, 12, 2, 2469563.571677
orig, 1, 3, move, 8, 12, 2, 2879.439466
inc, 1, 3, move, 8, 12, 2, 2473530.758333
orig, 1, 3, id, 8, 14, -1, 638.683048
inc, 1, 3, id, 8, 14, -1, 5705180.891720
einc, 1, 3, id, 8, 14, -1, 234245.209526
orig, 1, 3, add, 8, 14, 2, 650.129286
inc, 1, 3, add, 8, 14, 2, 2467227.215876
orig, 1, 3, elim, 8, 14, 2, 930.616311
inc, 1, 3, elim, 8, 14, 2, 2468890.233665
orig, 1, 3, move, 8, 14, 2, 649.089848
inc, 1, 3, move, 8, 14, 2, 2436928.673950
orig, 1, 3, id, 8, 16, -1, 109.403613
inc, 1, 3, id, 8, 16, -1, 5712732.059243
einc, 1, 3, id, 8, 16, -1, 203784.028729
orig, 1, 3, add, 8, 16, 2, 111.744089
inc, 1, 3, add, 8, 16, 2, 2471280.569500
orig, 1, 3, elim, 8, 16, 2, 159.808435
inc, 1, 3, elim, 8, 16, 2, 2470972.806835
orig, 1, 3, move, 8, 16, 2, 111.115110
inc, 1, 3, move, 8, 16, 2, 2465983.426994
orig, 1, 3, id, 8, 18, -1, 22.616114
inc, 1, 3, id, 8, 18, -1, 5723618.472071
einc, 1, 3, id, 8, 18, -1, 179672.389129
orig, 1, 3, add, 8, 18, 2, 23.175380
inc, 1, 3, add, 8, 18, 2, 2476080.894720
orig, 1, 3, elim, 8, 18, 2, 32.090521
inc, 1, 3, elim, 8, 18, 2, 2429634.359397
orig, 1, 3, move, 8, 18, 2, 22.674202
inc, 1, 3, move, 8, 18, 2, 2468280.852639
orig, 1, 3, id, 8, 20, -1, 5.426896
inc, 1, 3, id, 8, 20, -1, 5706885.276824
einc, 1, 3, id, 8, 20, -1, 159213.758745
orig, 1, 3, add, 8, 20, 2, 5.358854
inc, 1, 3, add, 8, 20, 2, 2447369.600725
orig, 1, 3, elim, 8, 20, 2, 7.311253
inc, 1, 3, elim, 8, 20, 2, 2460324.715353
orig, 1, 3, move, 8, 20, 2, 5.392075
inc, 1, 3, move, 8, 20, 2, 2461595.109584
orig, 1, 3, id, 16, 4, -1, 1077032.221514
inc, 1, 3, id, 16, 4, -1, 5690514.708852
einc, 1, 3, id, 16, 4, -1, 664758.303132
orig, 1, 3, add, 16, 4, 2, 1080941.818737
inc, 1, 3, add, 16, 4, 2, 2454247.507886
orig, 1, 3, elim, 16, 4, 2, 1444780.389149
inc, 1, 3, elim, 16, 4, 2, 984438.608305
orig, 1, 3, move, 16, 4, 2, 1056772.864120
inc, 1, 3, move, 16, 4, 2, 2456466.238755
orig, 1, 3, id, 16, 6, -1, 171930.332499
inc, 1, 3, id, 16, 6, -1, 2890344.993142
einc, 1, 3, id, 16, 6, -1, 226914.759402
orig, 1, 3, add, 16, 6, 2, 170450.092436
inc, 1, 3, add, 16, 6, 2, 1350386.432048
orig, 1, 3, elim, 16, 6, 2, 236973.272676
inc, 1, 3, elim, 16, 6, 2, 1297534.066511
orig, 1, 3, move, 16, 6, 2, 173034.942361
inc, 1, 3, move, 16, 6, 2, 1353181.343015
orig, 1, 3, id, 16, 8, -1, 41154.465411
inc, 1, 3, id, 16, 8, -1, 2901237.510720
einc, 1, 3, id, 16, 8, -1, 195686.287858
orig, 1, 3, add, 16, 8, 2, 41504.987714
inc, 1, 3, add, 16, 8, 2, 1348256.326630
orig, 1, 3, elim, 16, 8, 2, 55648.868075
inc, 1, 3, elim, 16, 8, 2, 1236407.880696
orig, 1, 3, move, 16, 8, 2, 41583.200543
inc, 1, 3, move, 16, 8, 2, 1334374.552336
orig, 1, 3, id, 16, 10, -1, 10135.653954
inc, 1, 3, id, 16, 10, -1, 2923657.083621
einc, 1, 3, id, 16, 10, -1, 168839.744165
orig, 1, 3, add, 16, 10, 2, 10109.872432
inc, 1, 3, add, 16, 10, 2, 1357075.419535
orig, 1, 3, elim, 16, 10, 2, 13530.504626
inc, 1, 3, elim, 16, 10, 2, 1359619.148209
orig, 1, 3, move, 16, 10, 2, 10014.543025
inc, 1, 3, move, 16, 10, 2, 1353928.709880
orig, 1, 3, id, 16, 12, -1, 2423.324667
inc, 1, 3, id, 16, 12, -1, 2923463.996377
einc, 1, 3, id, 16, 12, -1, 146838.133912
orig, 1, 3, add, 16, 12, 2, 2426.872777
inc, 1, 3, add, 16, 12, 2, 1356492.274000
orig, 1, 3, elim, 16, 12, 2, 3277.367952
inc, 1, 3, elim, 16, 12, 2, 1343382.442774
orig, 1, 3, move, 16, 12, 2, 2423.488087
inc, 1, 3, move, 16, 12, 2, 1354128.380934
orig, 1, 3, id, 16, 14, -1, 554.503823
inc, 1, 3, id, 16, 14, -1, 2921189.413246
einc, 1, 3, id, 16, 14, -1, 129080.131518
orig, 1, 3, add, 16, 14, 2, 554.642201
inc, 1, 3, add, 16, 14, 2, 1357830.081355
orig, 1, 3, elim, 16, 14, 2, 776.404086
inc, 1, 3, elim, 16, 14, 2, 1355433.851966
orig, 1, 3, move, 16, 14, 2, 554.449270
inc, 1, 3, move, 16, 14, 2, 1351240.378518
orig, 1, 3, id, 16, 16, -1, 97.096982
inc, 1, 3, id, 16, 16, -1, 2926189.444580
einc, 1, 3, id, 16, 16, -1, 114814.740227
orig, 1, 3, add, 16, 16, 2, 99.070753
inc, 1, 3, add, 16, 16, 2, 1351462.237831
orig, 1, 3, elim, 16, 16, 2, 142.297385
inc, 1, 3, elim, 16, 16, 2, 1352592.304429
orig, 1, 3, move, 16, 16, 2, 97.407523
inc, 1, 3, move, 16, 16, 2, 1351172.337844
orig, 1, 3, id, 16, 18, -1, 20.610768
inc, 1, 3, id, 16, 18, -1, 2925956.205830
