name, repeat, time, slow_prob, transf, fvc, depth, inv_depth, rate
einc, 1, 1, 0.000000, id, 2048, 16, -1, 327.488309
orig, 1, 1, 0.000000, add, 2048, 16, 8, 47.769138
inc, 1, 1, 0.000000, add, 2048, 16, 8, 445.749420
orig, 1, 1, 0.000000, elim, 2048, 16, 8, 48.801134
inc, 1, 1, 0.000000, elim, 2048, 16, 8, 200.674266
orig, 1, 1, 0.000000, move, 2048, 16, 8, 47.771856
inc, 1, 1, 0.000000, move, 2048, 16, 8, 139.445227
orig, 1, 1, 0.000000, id, 1, 16, -1, 135.118978
inc, 1, 1, 0.000000, id, 1, 16, -1, 5602344.832703
einc, 1, 1, 0.000000, id, 1, 16, -1, 257067.984056
orig, 1, 1, 0.000000, add, 1, 16, 10, 135.775605
inc, 1, 1, 0.000000, add, 1, 16, 10, 302964.382625
orig, 1, 1, 0.000000, elim, 1, 16, 10, 142.490596
inc, 1, 1, 0.000000, elim, 1, 16, 10, 734.004340
orig, 1, 1, 0.000000, move, 1, 16, 10, 135.610266
inc, 1, 1, 0.000000, move, 1, 16, 10, 554.052190
orig, 1, 1, 0.000000, id, 1024, 16, -1, 50.556026
inc, 1, 1, 0.000000, id, 1024, 16, -1, 7039.240367
einc, 1, 1, 0.000000, id, 1024, 16, -1, 620.641535
orig, 1, 1, 0.000000, add, 1024, 16, 10, 50.588764
inc, 1, 1, 0.000000, add, 1024, 16, 10, 780.895006
orig, 1, 1, 0.000000, elim, 1024, 16, 10, 52.204452
inc, 1, 1, 0.000000, elim, 1024, 16, 10, 264.995753
orig, 1, 1, 0.000000, move, 1024, 16, 10, 50.747979
inc, 1, 1, 0.000000, move, 1024, 16, 10, 170.228571
orig, 1, 1, 0.000000, id, 2048, 16, -1, 47.330333
inc, 1, 1, 0.000000, id, 2048, 16, -1, 3413.865546
einc, 1, 1, 0.000000, id, 2048, 16, -1, 327.754676
orig, 1, 1, 0.000000, add, 2048, 16, 10, 47.473585
inc, 1, 1, 0.000000, add, 2048, 16, 10, 397.979922
orig, 1, 1, 0.000000, elim, 2048, 16, 10, 48.950944
inc, 1, 1, 0.000000, elim, 2048, 16, 10, 169.316333
orig, 1, 1, 0.000000, move, 2048, 16, 10, 44.938771
inc, 1, 1, 0.000000, move, 2048, 16, 10, 104.811414
orig, 1, 1, 0.000000, id, 1, 16, -1, 103.014136
inc, 1, 1, 0.000000, id, 1, 16, -1, 5070748.943704
einc, 1, 1, 0.000000, id, 1, 16, -1, 173402.726074
orig, 1, 1, 0.000000, add, 1, 16, 12, 86.185319
inc, 1, 1, 0.000000, add, 1, 16, 12, 208384.570492
orig, 1, 1, 0.000000, elim, 1, 16, 12, 87.237883
inc, 1, 1, 0.000000, elim, 1, 16, 12, 356.257453
orig, 1, 1, 0.000000, move, 1, 16, 12, 127.370674
inc, 1, 1, 0.000000, move, 1, 16, 12, 695.706412
orig, 1, 1, 0.000000, id, 1024, 16, -1, 43.788965
inc, 1, 1, 0.000000, id, 1024, 16, -1, 7065.963204
einc, 1, 1, 0.000000, id, 1024, 16, -1, 621.379714
orig, 1, 1, 0.000000, add, 1024, 16, 12, 50.701062
inc, 1, 1, 0.000000, add, 1024, 16, 12, 712.754988
orig, 1, 1, 0.000000, elim, 1024, 16, 12, 42.125351
inc, 1, 1, 0.000000, elim, 1024, 16, 12, 222.156398
orig, 1, 1, 0.000000, move, 1024, 16, 12, 45.744315
inc, 1, 1, 0.000000, move, 1024, 16, 12, 159.166205
orig, 1, 1, 0.000000, id, 2048, 16, -1, 43.131546
inc, 1, 1, 0.000000, id, 2048, 16, -1, 3135.517540
einc, 1, 1, 0.000000, id, 2048, 16, -1, 320.052332
orig, 1, 1, 0.000000, add, 2048, 16, 12, 47.500646
inc, 1, 1, 0.000000, add, 2048, 16, 12, 367.279342
orig, 1, 1, 0.000000, elim, 2048, 16, 12, 48.668858
inc, 1, 1, 0.000000, elim, 2048, 16, 12, 174.000744
orig, 1, 1, 0.000000, move, 2048, 16, 12, 47.509911
inc, 1, 1, 0.000000, move, 2048, 16, 12, 117.533332
orig, 1, 1, 0.000000, id, 1, 16, -1, 136.965177
inc, 1, 1, 0.000000, id, 1, 16, -1, 5602300.963079
einc, 1, 1, 0.000000, id, 1, 16, -1, 256759.893733
orig, 1, 1, 0.000000, add, 1, 16, 14, 136.654804
inc, 1, 1, 0.000000, add, 1, 16, 14, 294056.635309
orig, 1, 1, 0.000000, elim, 1, 16, 14, 144.420568
inc, 1, 1, 0.000000, elim, 1, 16, 14, 722.549825
orig, 1, 1, 0.000000, move, 1, 16, 14, 135.690360
inc, 1, 1, 0.000000, move, 1, 16, 14, 553.029239
orig, 1, 1, 0.000000, id, 1024, 16, -1, 50.550318
inc, 1, 1, 0.000000, id, 1024, 16, -1, 7057.930135
einc, 1, 1, 0.000000, id, 1024, 16, -1, 620.961928
orig, 1, 1, 0.000000, add, 1024, 16, 14, 50.334287
inc, 1, 1, 0.000000, add, 1024, 16, 14, 670.690161
orig, 1, 1, 0.000000, elim, 1024, 16, 14, 51.095809
inc, 1, 1, 0.000000, elim, 1024, 16, 14, 244.215261
orig, 1, 1, 0.000000, move, 1024, 16, 14, 50.691303
inc, 1, 1, 0.000000, move, 1024, 16, 14, 172.734401
orig, 1, 1, 0.000000, id, 2048, 16, -1, 47.376121
inc, 1, 1, 0.000000, id, 2048, 16, -1, 3415.204502
einc, 1, 1, 0.000000, id, 2048, 16, -1, 329.510499
orig, 1, 1, 0.000000, add, 2048, 16, 14, 47.726277
inc, 1, 1, 0.000000, add, 2048, 16, 14, 338.669921
orig, 1, 1, 0.000000, elim, 2048, 16, 14, 47.608982
inc, 1, 1, 0.000000, elim, 2048, 16, 14, 169.748666
orig, 1, 1, 0.000000, move, 2048, 16, 14, 47.475175
inc, 1, 1, 0.000000, move, 2048, 16, 14, 108.709234
